,timestamp,tag,type,description,test
41,2024-05-01 14:34:20.000000000,AIR003_8,H NR,PURGE H CONC HIGH ALM RECOVERED,1
42,2024-05-01 14:52:40.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED,1
43,2024-05-01 15:40:10.000000000,AIR003_1,H NR,PURGE A CONC HIGH ALM RECOVERED,1
44,2024-05-01 15:55:00.000000000,AIR001_3,L NR,REACT FEED C CONC LOW ALM RECOVERED,1
45,2024-05-01 16:07:00.000000000,AIR003_3,L NR,PURGE C CONC LOW ALM RECOVERED,1
46,2024-05-01 16:08:00.000000000,AIR001_1,H NR,REACT FEED A CONC HIGH ALM RECOVERED,1
47,2024-05-01 16:47:40.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,1
48,2024-05-01 17:51:10.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,1
49,2024-05-01 21:01:40.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,1
50,2024-05-01 22:05:10.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,1
51,2024-05-02 00:30:00.000000000,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED,1
52,2024-05-02 05:12:30.000000000,AIR103_2,H,C FEED B CONC HIGH ALM,1
53,2024-05-02 09:14:20.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM,1
54,2024-05-02 10:33:50.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM,1
55,2024-05-02 11:02:40.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED,1
56,2024-05-02 11:30:10.000000000,AIR003_6,L,PURGE F CONC LOW ALM,1
57,2024-05-02 11:33:20.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM,1
58,2024-05-02 11:52:00.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED,1
59,2024-05-02 12:15:40.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM,1
60,2024-05-03 01:39:00.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,1
61,2024-05-03 02:49:10.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,1
62,2024-05-04 04:09:40.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED,1
63,2024-05-04 10:20:50.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,1
64,2024-05-04 12:02:10.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,1
65,2024-05-04 17:20:20.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED,1
66,2024-05-04 17:32:00.000000000,AIR003_6,L NR,PURGE F CONC LOW ALM RECOVERED,1
67,2024-05-04 17:47:30.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM,1
68,2024-05-04 18:18:10.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED,1
69,2024-05-04 21:12:00.000000000,AIR103_2,H,C FEED B CONC HIGH ALM,1
70,2024-05-04 21:15:10.000000000,AIR103_2,H NR,C FEED B CONC HIGH ALM RECOVERED,1
71,2024-05-05 01:49:00.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED,1
72,2024-05-05 07:00:29.999999999,FIR102,L,FLW FEED E LOW ALM,1
73,2024-05-05 07:03:20.000000002,FIR123,L,FLW COND CW LOW ALM,1
74,2024-05-05 07:06:10.000000001,V162,L,VLV POS FEED E LOW ALM,1
75,2024-05-05 07:10:59.999999999,FIR122,L,FLW REACT CW LOW ALM,1
76,2024-05-05 07:13:30.000000000,AIR001_5,L,REACT FEED E CONC LOW ALM,1
77,2024-05-05 07:16:30.000000000,FIR114,H,FLW COMP RCYCL HIGH ALM,1
78,2024-05-05 07:17:10.000000000,K100,H,COMP WORK HIGH ALM,1
79,2024-05-05 07:18:10.000000001,TIR113,H,FLW FEED A HIGH ALM,1
80,2024-05-05 07:18:50.000000000,AIR003_5,L,PURGE E CONC LOW ALM,1
81,2024-05-05 07:19:00.000000001,AIR003_8,H,PURGE H CONC HIGH ALM,1
82,2024-05-05 07:21:50.000000000,AIR003_7,H,PURGE G CONC HIGH ALM,1
83,2024-05-05 07:23:49.999999999,TIR118,H,TEMP SEP HIGH ALM,1
84,2024-05-05 07:24:10.000000001,TIR111,H,TEMP STRIP HIGH ALM,1
85,2024-05-05 07:24:10.000000001,AIR003_3,H,PURGE C CONC HIGH ALM,1
86,2024-05-05 07:27:20.000000002,AIR001_3,H,REACT FEED C CONC HIGH ALM,1
87,2024-05-05 07:28:09.999999998,PIR108,H,PRES REACT HIGH ALM,1
88,2024-05-05 07:30:20.000000002,AIR001_1,H,REACT FEED A CONC HIGH ALM,1
89,2024-05-05 07:30:50.000000000,FIR115,H,FLW PURGE HIGH ALM,1
90,2024-05-05 07:32:20.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,1
91,2024-05-05 07:33:00.000000000,PIR108,HH,PRES REACT HIGH HIGH ALM,1
92,2024-05-05 10:33:00.000000000,FIR102,L NR,FLW FEED E LOW ALM RECOVERED,2
93,2024-05-05 10:33:00.000000000,FIR114,H NR,FLW COMP RCYCL HIGH ALM RECOVERED,2
94,2024-05-05 10:33:00.000000000,PIR108,H NR,PRES REACT HIGH ALM RECOVERED,2
95,2024-05-05 10:33:00.000000000,FIR115,H NR,FLW PURGE HIGH ALM RECOVERED,2
96,2024-05-05 10:33:00.000000000,TIR118,H NR,TEMP SEP HIGH ALM RECOVERED,2
97,2024-05-05 10:33:00.000000000,TIR111,H NR,TEMP STRIP HIGH ALM RECOVERED,2
98,2024-05-05 10:33:00.000000000,K100,H NR,COMP WORK HIGH ALM RECOVERED,2
99,2024-05-05 10:33:00.000000000,TIR113,H NR,FLW FEED A HIGH ALM RECOVERED,2
100,2024-05-05 10:33:00.000000000,AIR001_1,H NR,REACT FEED A CONC HIGH ALM RECOVERED,2
101,2024-05-05 10:33:00.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,2
102,2024-05-05 10:33:00.000000000,AIR001_5,L NR,REACT FEED E CONC LOW ALM RECOVERED,2
103,2024-05-05 10:33:00.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,2
104,2024-05-05 10:33:00.000000000,AIR003_5,L NR,PURGE E CONC LOW ALM RECOVERED,2
105,2024-05-05 10:33:00.000000000,AIR003_7,H NR,PURGE G CONC HIGH ALM RECOVERED,2
106,2024-05-05 10:33:00.000000000,AIR003_8,H NR,PURGE H CONC HIGH ALM RECOVERED,2
107,2024-05-05 10:33:00.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,2
108,2024-05-05 10:33:00.000000000,FIR122,L NR,FLW REACT CW LOW ALM RECOVERED,2
109,2024-05-05 10:33:00.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED,2
110,2024-05-05 10:33:00.000000000,V162,L NR,VLV POS FEED E LOW ALM RECOVERED,2
111,2024-05-05 10:33:10.000000000,PIR108,HH NR,PRES REACT HIGH HIGH ALM RECOVERED,2
112,2024-05-05 11:35:40.000000000,TIR123,H,TEMP COND CWS HIGH ALM,2
113,2024-05-05 11:44:10.000000000,FIR123,H,FLW COND CW HIGH ALM,2
114,2024-05-07 10:33:40.000000000,TIR123,H NR,TEMP COND CWS HIGH ALM RECOVERED,2
115,2024-05-07 10:36:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED,2
116,2024-05-07 15:10:00.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,2
117,2024-05-07 15:15:30.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,2
118,2024-05-07 15:30:50.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM,2
119,2024-05-07 15:47:10.000000000,AIR003_1,L,PURGE A CONC LOW ALM,2
120,2024-05-07 16:20:40.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,2
121,2024-05-07 16:46:10.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM,2
122,2024-05-07 16:52:10.000000000,AIR001_2,L,REACT FEED B CONC LOW ALM,2
123,2024-05-07 17:16:20.000000000,FIR123,H,FLW COND CW HIGH ALM,2
124,2024-05-07 17:30:50.000000000,AIR003_5,H,PURGE E CONC HIGH ALM,2
125,2024-05-07 17:36:00.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM,2
126,2024-05-07 17:53:20.000000000,FIR100,H,FLW FEED A HIGH ALM,2
127,2024-05-07 18:02:20.000000000,FIR115,L,FLW PURGE LOW ALM,2
128,2024-05-07 18:04:00.000000000,AIR003_8,L,PURGE H CONC LOW ALM,2
129,2024-05-07 18:18:20.000000000,V160,H,VLV POS FEED A HIGH ALM,2
130,2024-05-07 18:31:50.000000000,V167,L,VLV POS PURGE LOW ALM,2
131,2024-05-07 19:08:20.000000000,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED,2
132,2024-05-07 19:18:10.000000000,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED,2
133,2024-05-07 19:29:50.000000000,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED,2
134,2024-05-07 19:33:50.000000000,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED,2
135,2024-05-07 19:42:40.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,2
136,2024-05-07 19:47:20.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,2
137,2024-05-07 19:55:30.000000000,AIR003_5,H NR,PURGE E CONC HIGH ALM RECOVERED,2
138,2024-05-07 20:18:30.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED,2
139,2024-05-07 20:29:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED,2
140,2024-05-07 20:42:00.000000000,AIR003_3,L,PURGE C CONC LOW ALM,2
141,2024-05-07 20:44:30.000000000,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED,2
142,2024-05-07 20:45:50.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM,2
143,2024-05-07 21:10:50.000000000,FIR100,H NR,FLW FEED A HIGH ALM RECOVERED,2
144,2024-05-07 21:12:40.000000000,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED,2
145,2024-05-07 21:14:20.000000000,V167,L NR,VLV POS PURGE LOW ALM RECOVERED,2
146,2024-05-07 21:26:40.000000000,FIR115,L NR,FLW PURGE LOW ALM RECOVERED,2
147,2024-05-07 23:05:10.000000000,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED,2
148,2024-05-08 01:11:40.000000000,AIR001_1,H,REACT FEED A CONC HIGH ALM,2
149,2024-05-08 01:20:10.000000000,FIR123,L,FLW COND CW LOW ALM,2
150,2024-05-08 01:28:20.000000000,AIR003_1,H,PURGE A CONC HIGH ALM,2
151,2024-05-08 02:19:10.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,2
152,2024-05-08 02:20:30.000000000,AIR003_8,H,PURGE H CONC HIGH ALM,2
153,2024-05-08 02:43:10.000000000,AIR002_3,L,SEP UFLW F CONC LOW ALM,2
154,2024-05-08 02:52:00.000000000,AIR002_3,L NR,SEP UFLW F CONC LOW ALM RECOVERED,2
155,2024-05-08 03:29:00.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED,2
156,2024-05-08 03:41:20.000000000,AIR003_8,H NR,PURGE H CONC HIGH ALM RECOVERED,2
157,2024-05-08 04:47:30.000000000,AIR003_1,H NR,PURGE A CONC HIGH ALM RECOVERED,2
158,2024-05-08 04:48:50.000000000,AIR001_1,H NR,REACT FEED A CONC HIGH ALM RECOVERED,2
159,2024-05-08 04:56:10.000000000,AIR001_3,L NR,REACT FEED C CONC LOW ALM RECOVERED,2
160,2024-05-08 05:06:20.000000000,AIR003_3,L NR,PURGE C CONC LOW ALM RECOVERED,2
161,2024-05-08 06:38:10.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,2
162,2024-05-08 06:38:50.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,2
163,2024-05-08 07:18:20.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,2
164,2024-05-08 09:58:20.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,2
165,2024-05-08 10:00:50.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,2
166,2024-05-09 01:03:30.000000000,FIR102,L,FLW FEED E LOW ALM,2
167,2024-05-09 01:06:10.000000000,FIR123,L,FLW COND CW LOW ALM,2
168,2024-05-09 01:09:10.000000000,V162,L,VLV POS FEED E LOW ALM,2
169,2024-05-09 01:14:10.000000000,FIR122,L,FLW REACT CW LOW ALM,2
170,2024-05-09 01:16:50.000000000,AIR001_5,L,REACT FEED E CONC LOW ALM,2
171,2024-05-09 01:19:50.000000000,FIR114,H,FLW COMP RCYCL HIGH ALM,2
172,2024-05-09 01:20:10.000000000,K100,H,COMP WORK HIGH ALM,2
173,2024-05-09 01:21:20.000000000,TIR113,H,FLW FEED A HIGH ALM,2
174,2024-05-09 01:21:40.000000000,AIR003_8,H,PURGE H CONC HIGH ALM,2
175,2024-05-09 01:21:50.000000000,AIR003_5,L,PURGE E CONC LOW ALM,2
176,2024-05-09 01:24:20.000000000,AIR003_7,H,PURGE G CONC HIGH ALM,2
177,2024-05-09 01:26:40.000000000,TIR118,H,TEMP SEP HIGH ALM,2
178,2024-05-09 01:27:20.000000000,TIR111,H,TEMP STRIP HIGH ALM,2
179,2024-05-09 01:28:40.000000000,AIR001_6,H,REACT FEED F CONC HIGH ALM,2
180,2024-05-09 01:30:00.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,2
181,2024-05-09 01:31:00.000000000,PIR108,H,PRES REACT HIGH ALM,2
182,2024-05-09 01:33:10.000000000,AIR001_1,H,REACT FEED A CONC HIGH ALM,2
183,2024-05-09 01:33:40.000000000,FIR115,H,FLW PURGE HIGH ALM,2
184,2024-05-09 01:34:20.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,2
185,2024-05-09 01:34:40.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,2
186,2024-05-09 01:35:50.000000000,PIR108,HH,PRES REACT HIGH HIGH ALM,2
187,2024-05-09 04:35:50.000000000,FIR102,L NR,FLW FEED E LOW ALM RECOVERED,3
188,2024-05-09 04:35:50.000000000,FIR114,H NR,FLW COMP RCYCL HIGH ALM RECOVERED,3
189,2024-05-09 04:35:50.000000000,PIR108,H NR,PRES REACT HIGH ALM RECOVERED,3
190,2024-05-09 04:35:50.000000000,FIR115,H NR,FLW PURGE HIGH ALM RECOVERED,3
191,2024-05-09 04:35:50.000000000,TIR118,H NR,TEMP SEP HIGH ALM RECOVERED,3
192,2024-05-09 04:35:50.000000000,TIR111,H NR,TEMP STRIP HIGH ALM RECOVERED,3
193,2024-05-09 04:35:50.000000000,K100,H NR,COMP WORK HIGH ALM RECOVERED,3
194,2024-05-09 04:35:50.000000000,TIR113,H NR,FLW FEED A HIGH ALM RECOVERED,3
195,2024-05-09 04:35:50.000000000,AIR001_1,H NR,REACT FEED A CONC HIGH ALM RECOVERED,3
196,2024-05-09 04:35:50.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,3
197,2024-05-09 04:35:50.000000000,AIR001_5,L NR,REACT FEED E CONC LOW ALM RECOVERED,3
198,2024-05-09 04:35:50.000000000,AIR001_6,H NR,REACT FEED F CONC HIGH ALM RECOVERED,3
199,2024-05-09 04:35:50.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,3
200,2024-05-09 04:35:50.000000000,AIR003_5,L NR,PURGE E CONC LOW ALM RECOVERED,3
201,2024-05-09 04:35:50.000000000,AIR003_7,H NR,PURGE G CONC HIGH ALM RECOVERED,3
202,2024-05-09 04:35:50.000000000,AIR003_8,H NR,PURGE H CONC HIGH ALM RECOVERED,3
203,2024-05-09 04:35:50.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,3
204,2024-05-09 04:35:50.000000000,FIR122,L NR,FLW REACT CW LOW ALM RECOVERED,3
205,2024-05-09 04:35:50.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED,3
206,2024-05-09 04:35:50.000000000,V162,L NR,VLV POS FEED E LOW ALM RECOVERED,3
207,2024-05-09 04:36:00.000000000,PIR108,HH NR,PRES REACT HIGH HIGH ALM RECOVERED,3
208,2024-05-09 06:12:40.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,3
209,2024-05-09 06:13:20.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,3
210,2024-05-09 06:39:10.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM,3
211,2024-05-09 06:45:00.000000000,AIR003_1,L,PURGE A CONC LOW ALM,3
212,2024-05-09 07:38:30.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,3
213,2024-05-09 07:46:30.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM,3
214,2024-05-09 07:56:20.000000000,AIR001_2,L,REACT FEED B CONC LOW ALM,3
215,2024-05-09 08:04:00.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM,3
216,2024-05-09 08:15:40.000000000,FIR123,H,FLW COND CW HIGH ALM,3
217,2024-05-09 08:57:00.000000000,FIR100,H,FLW FEED A HIGH ALM,3
218,2024-05-09 09:06:10.000000000,FIR115,L,FLW PURGE LOW ALM,3
219,2024-05-09 09:20:20.000000000,V160,H,VLV POS FEED A HIGH ALM,3
220,2024-05-09 09:33:00.000000000,AIR003_8,L,PURGE H CONC LOW ALM,3
221,2024-05-09 09:36:20.000000000,V167,L,VLV POS PURGE LOW ALM,3
222,2024-05-09 10:06:50.000000000,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED,3
223,2024-05-09 10:24:40.000000000,AIR003_8,L NR,PURGE H CONC LOW ALM RECOVERED,3
224,2024-05-09 10:30:00.000000000,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED,3
225,2024-05-09 10:36:40.000000000,AIR001_2,L NR,REACT FEED B CONC LOW ALM RECOVERED,3
226,2024-05-09 10:48:30.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,3
227,2024-05-09 10:49:10.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,3
228,2024-05-09 11:24:20.000000000,AIR001_6,L NR,REACT FEED F CONC LOW ALM RECOVERED,3
229,2024-05-09 11:26:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED,3
230,2024-05-09 11:40:00.000000000,AIR003_3,L,PURGE C CONC LOW ALM,3
231,2024-05-09 11:44:40.000000000,V160,H NR,VLV POS FEED A HIGH ALM RECOVERED,3
232,2024-05-09 11:45:20.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM,3
233,2024-05-09 12:12:00.000000000,FIR100,H NR,FLW FEED A HIGH ALM RECOVERED,3
234,2024-05-09 12:16:00.000000000,AIR001_5,H NR,REACT FEED E CONC HIGH ALM RECOVERED,3
235,2024-05-09 12:19:40.000000000,V167,L NR,VLV POS PURGE LOW ALM RECOVERED,3
236,2024-05-09 12:30:40.000000000,FIR115,L NR,FLW PURGE LOW ALM RECOVERED,3
237,2024-05-09 14:06:40.000000000,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED,3
238,2024-05-09 15:27:10.000000000,AIR001_1,H,REACT FEED A CONC HIGH ALM,3
239,2024-05-09 15:47:00.000000000,FIR123,L,FLW COND CW LOW ALM,3
240,2024-05-09 15:48:30.000000000,AIR003_1,H,PURGE A CONC HIGH ALM,3
241,2024-05-09 16:19:50.000000000,AIR003_8,H,PURGE H CONC HIGH ALM,3
242,2024-05-09 16:40:00.000000000,AIR002_2,L,SEP UFLW E CONC LOW ALM,3
243,2024-05-09 18:00:10.000000000,AIR003_8,H NR,PURGE H CONC HIGH ALM RECOVERED,3
244,2024-05-09 18:09:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED,3
245,2024-05-09 19:04:50.000000000,AIR003_1,H NR,PURGE A CONC HIGH ALM RECOVERED,3
246,2024-05-09 19:24:10.000000000,AIR001_3,L NR,REACT FEED C CONC LOW ALM RECOVERED,3
247,2024-05-09 19:27:10.000000000,AIR003_3,L NR,PURGE C CONC LOW ALM RECOVERED,3
248,2024-05-09 19:29:10.000000000,AIR001_1,H NR,REACT FEED A CONC HIGH ALM RECOVERED,3
249,2024-05-09 20:21:00.000000000,AIR002_2,L NR,SEP UFLW E CONC LOW ALM RECOVERED,3
250,2024-05-09 21:06:40.000000000,AIR003_3,H,PURGE C CONC HIGH ALM,3
251,2024-05-09 21:38:00.000000000,AIR001_3,H,REACT FEED C CONC HIGH ALM,3
252,2024-05-09 23:26:50.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,3
253,2024-05-10 00:17:50.000000000,AIR001_3,H NR,REACT FEED C CONC HIGH ALM RECOVERED,3
254,2024-05-10 00:28:50.000000000,AIR003_3,H NR,PURGE C CONC HIGH ALM RECOVERED,3
255,2024-05-10 02:02:10.000000000,AIR002_2,H NR,SEP UFLW E CONC HIGH ALM RECOVERED,3
256,2024-05-10 10:23:50.000000000,V160,H,VLV POS FEED A HIGH ALM,3
257,2024-05-10 10:56:30.000000000,AIR002_2,H,SEP UFLW E CONC HIGH ALM,3
258,2024-05-10 12:18:40.000000000,FIR123,H,FLW COND CW HIGH ALM,3
259,2024-05-10 12:38:10.000000000,AIR001_5,H,REACT FEED E CONC HIGH ALM,3
260,2024-05-10 13:19:40.000000000,AIR003_5,H,PURGE E CONC HIGH ALM,3
261,2024-05-10 13:34:20.000000000,AIR001_1,L,REACT FEED A CONC LOW ALM,3
262,2024-05-10 14:05:50.000000000,AIR003_1,L,PURGE A CONC LOW ALM,3
263,2024-05-10 14:06:30.000000000,AIR003_8,L,PURGE H CONC LOW ALM,3
264,2024-05-10 14:24:40.000000000,AIR002_3,H,SEP UFLW F CONC HIGH ALM,3
265,2024-05-10 15:08:20.000000000,AIR003_4,H,PURGE D CONC HIGH ALM,3
266,2024-05-10 16:26:30.000000000,AIR001_4,H,REACT FEED D CONC HIGH ALM,3
267,2024-05-10 16:59:20.000000000,K100,L,COMP WORK LOW ALM,3
268,2024-05-10 17:24:30.000000000,FIR114,L,FLW COMP RCYCL LOW ALM,3
269,2024-05-10 17:36:30.000000000,AIR003_7,L,PURGE G CONC LOW ALM,3
270,2024-05-10 18:18:20.000000000,TIR113,L,FLW FEED A LOW ALM,3
271,2024-05-10 19:48:10.000000000,TIR111,L,TEMP STRIP LOW ALM,3
272,2024-05-10 21:58:40.000000000,FIR119,H,UFLW SEP HIGH ALM,3
273,2024-05-10 22:23:50.000000000,FIR104,L,FLW REACT FEED LOW ALM,3
274,2024-05-10 22:44:00.000000000,FIR100,H,FLW FEED A HIGH ALM,3
275,2024-05-10 22:51:10.000000000,AIR001_6,L,REACT FEED F CONC LOW ALM,3
276,2024-05-10 23:14:50.000000000,AIR003_3,L,PURGE C CONC LOW ALM,3
277,2024-05-10 23:19:50.000000000,FIR104,L NR,FLW REACT FEED LOW ALM RECOVERED,3
278,2024-05-10 23:31:50.000000000,AIR001_3,L,REACT FEED C CONC LOW ALM,3
279,2024-05-10 23:43:20.000000000,TIR113,L NR,FLW FEED A LOW ALM RECOVERED,3
280,2024-05-10 23:44:40.000000000,AIR001_1,L NR,REACT FEED A CONC LOW ALM RECOVERED,3
281,2024-05-10 23:45:10.000000000,AIR003_1,L NR,PURGE A CONC LOW ALM RECOVERED,3
282,2024-05-10 23:52:10.000000000,FIR114,L NR,FLW COMP RCYCL LOW ALM RECOVERED,3
